Id_Registro;Id_Pais;Id_Pvcia;Id_Dpto;Fecha_Medicion;Id_Zona;Id_Actividad;Ingreso_Bruto;Costos_Directos;Margen_Bruto;Costos_Indirectos;Resultado_Neto;producción_(kg/ha);carga_(kg/ha);eficiencia_stock(%);destete(%)
1000675;32;2;1;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000676;32;2;2;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000677;32;2;3;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000678;32;2;4;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000679;32;2;22;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000680;32;2;47;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000681;32;2;66;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000682;32;2;71;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000683;32;2;96;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000684;32;2;120;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000685;32;2;121;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000686;32;2;129;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000687;32;2;135;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000688;32;2;143;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000689;32;2;163;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000690;32;2;189;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000691;32;7;65;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000692;32;7;114;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000693;32;7;153;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000694;32;7;154;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000695;32;7;155;01/02/2015;4;2;437;96;341;219;123;28;108;26;60
1000844;32;13;9;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000845;32;13;11;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000846;32;13;13;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000847;32;13;18;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000848;32;13;31;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000849;32;13;44;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000850;32;13;64;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000851;32;13;94;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000852;32;13;101;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000853;32;13;102;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000854;32;13;105;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000855;32;13;126;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000856;32;13;138;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000857;32;13;144;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000858;32;13;149;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000859;32;13;161;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000860;32;13;175;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000861;32;13;181;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000862;32;13;192;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000863;32;13;201;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000864;32;13;203;01/02/2015;19;2;412;109;303;234;69;27;94;29;60
1000696;32;2;10;01/02/2015;5;2;297;76;221;162;58;19;75;25;60
1000697;32;2;72;01/02/2015;5;2;297;76;221;162;58;19;75;25;60
1000698;32;7;22;01/02/2015;5;2;297;76;221;162;58;19;75;25;60
1000699;32;7;148;01/02/2015;5;2;297;76;221;162;58;19;75;25;60
1000700;32;7;164;01/02/2015;5;2;297;76;221;162;58;19;75;25;60
1000716;32;5;21;01/02/2015;7;2;656;109;547;202;345;41;162;25;65
